No,Family Name,Given Name,Nation,Races,"""World CupRank""","""Rank(avg)""","""Points(avg)""",Wins,2nd,3rd,Podiums,Top5s,Top10s,Top20s,Top30s,Top40s,>40,LAP,DNF,DSQ,World CupRank,Rank(avg),Points(avg),Season,sex,Unnamed: 20,√No,"World Cup
Rank","Rank
(avg)","Points
(avg)",full_name,DOB
1,Kirchner,Mark,GER,14,,,,4,0,2,6,7,10,13,13,13,1,0,0,0,2.0,9.1,15.9,1990-1991,men,,,,,,Mark Kirchner,too_old_young
2,Tchepikov,Sergei,URS,12,,,,3,1,0,4,8,8,11,11,12,0,0,0,0,1.0,8.9,16.5,1990-1991,men,,,,,,Sergei Tchepikov,1967-01-30
3,Luck,Frank,GER,10,,,,1,3,0,4,5,7,9,9,10,0,0,0,0,4.0,9.3,16.0,1990-1991,men,,,,,,Frank Luck,1967-12-05
4,Carrara,Pieralberto,ITA,13,,,,1,1,1,3,4,5,8,9,11,2,0,0,0,5.0,21.0,10.6,1990-1991,men,,,,,,Pieralberto Carrara,1966-02-14
5,Tarasov,Sergei Sen.,URS,10,,,,1,1,0,2,3,6,7,9,9,0,0,0,1,10.0,10.6,11.4,1990-1991,men,,,,,,Sergei Tarasov,1965-02-15
6,Popov,Alexandr,URS,8,,,,1,1,0,2,2,4,5,6,8,0,0,0,0,,15.4,10.6,1990-1991,men,,,,,,Alexandr Popov,1965-02-22
7,Kvalfoss,Eirik,NOR,9,,,,1,0,3,4,4,6,7,9,9,0,0,0,0,12.0,9.6,10.8,1990-1991,men,,,,,,Eirik Kvalfoss,1959-12-25
8,Einang,Geir,NOR,11,,,,1,0,0,1,2,5,8,9,10,1,0,0,0,17.0,16.6,9.2,1990-1991,men,,,,,,Geir Einang,1965-03-08
9,Flandin,Herve,FRA,12,,,,1,0,0,1,1,2,6,9,10,2,0,0,0,,24.3,6.4,1990-1991,men,,,,,,Herve Flandin,1965-06-04
10,Zingerle,Andreas,ITA,14,,,,0,2,2,4,6,11,13,14,14,0,0,0,0,3.0,8.5,15.1,1990-1991,men,,,,,,Andreas Zingerle,1961-11-25
11,Gross,Ricco,GER,13,,,,0,1,0,1,2,4,7,10,13,0,0,0,0,7.0,18.0,9.1,1990-1991,men,,,,,,Ricco Gross,1970-08-22
12,Bailly-Salins,Patrice,FRA,11,,,,0,1,0,1,2,4,6,10,10,1,0,0,0,14.0,17.4,10.1,1990-1991,men,,,,,,Patrice Bailly-Salins,1964-06-21
13,Schuler,Franz,AUT,13,,,,0,1,0,1,1,4,7,10,12,1,0,0,0,9.0,20.2,7.8,1990-1991,men,,,,,,Franz Schuler,1962-10-03
14,Leitgeb,Hubert,ITA,11,,,,0,1,0,1,1,3,6,9,10,1,0,0,0,11.0,19.1,9.7,1990-1991,men,,,,,,Hubert Leitgeb,1965-10-31
15,Zhdanovitch,Anatoli,URS,6,,,,0,1,0,1,1,2,4,5,5,1,0,0,0,,18.8,11.3,1990-1991,men,,,,,,Anatoli Zhdanovitch,1961-12-23
16,Loeberg,Frode,NOR,9,,,,0,0,2,2,2,4,6,7,7,1,0,1,0,13.0,21.0,12.0,1990-1991,men,,,,,,Frode Løberg,1963-01-23
17,Roetsch,Frank Peter,GER,9,,,,0,0,1,1,2,3,5,6,8,1,0,0,0,,22.2,7.0,1990-1991,men,,,,,,Frank Peter Roetsch,1964-04-19
18,Thompson,Josh,USA,9,,,,0,0,1,1,1,5,6,7,7,2,0,0,0,,23.0,8.9,1990-1991,men,,,,,,Josh Thompson,too_old_young
19,Dumont,Christian,FRA,11,,,,0,0,1,1,1,3,6,7,9,2,0,0,0,,25.3,8.7,1990-1991,men,,,,,,Christian Dumont,1963-04-19
20,Bouthiaux,Stephane,FRA,10,,,,0,0,1,1,1,2,3,8,9,1,0,0,0,,25.4,6.2,1990-1991,men,,,,,,Stephane Bouthiaux,1966-03-26
21,Fenne,Gisle,NOR,10,,,,0,0,0,0,4,5,10,10,10,0,0,0,0,6.0,9.3,14.3,1990-1991,men,,,,,,Gisle Fenne,1963-06-09
22,Fischer,Fritz,GER,10,,,,0,0,0,0,2,4,9,10,10,0,0,0,0,15.0,12.4,9.4,1990-1991,men,,,,,,Fritz Fischer,too_old_young
23,Medvedtsev,Valeriy,URS,7,,,,0,0,0,0,2,4,5,6,7,0,0,0,0,,14.1,10.1,1990-1991,men,,,,,,Valeriy Medvedtsev,1964-07-05
24,Kashkarov,Juri,URS,7,,,,0,0,0,0,2,2,4,5,6,1,0,0,0,,25.3,7.0,1990-1991,men,,,,,,Juri Kashkarov,1963-12-04
25,Tyldum,Jon Age,NOR,10,,,,0,0,0,0,1,3,7,8,10,0,0,0,0,16.0,17.4,9.9,1990-1991,men,,,,,,Jon Age Tyldum,1968-10-26
26,Sehmisch,Andre,GER,13,,,,0,0,0,0,1,2,7,13,13,0,0,0,0,,18.3,7.2,1990-1991,men,,,,,,Andre Sehmisch,1964-09-27
27,Loefgren,Mikael,SWE,10,,,,0,0,0,0,1,2,5,6,9,1,0,0,0,,24.1,4.8,1990-1991,men,,,,,,Mikael Loefgren,1969-09-02
28,Garabik,Petr,TCH,4,,,,0,0,0,0,1,1,2,3,4,0,0,0,0,,22.5,7.5,1990-1991,men,,,,,,Petr Garabik,1970-01-01
29,Pallhuber,Wilfried,ITA,14,,,,0,0,0,0,0,5,7,11,12,2,0,0,0,8.0,21.2,8.5,1990-1991,men,,,,,,Wilfried Pallhuber,1967-08-04
30,Passler,Johann,ITA,11,,,,0,0,0,0,0,3,5,8,8,2,0,1,0,,22.7,6.7,1990-1991,men,,,,,,Johann Passler,1961-08-18
31,Grajf,Aleksander,YUG,12,,,,0,0,0,0,0,2,5,7,10,2,0,0,0,,25.1,3.4,1990-1991,men,,,,,,Aleksander Grajf,1965-06-25
32,Istad,Sverre,NOR,9,,,,0,0,0,0,0,2,5,5,7,2,0,0,0,,25.4,5.1,1990-1991,men,,,,,,Sverre Istad,1965-01-03
33,Kirienko,Valeri,URS,4,,,,0,0,0,0,0,2,3,3,4,0,0,0,0,,16.0,8.8,1990-1991,men,,,,,,Valeri Kiriyenko,1965-02-13
34,Heymann,Andreas,GER,9,,,,0,0,0,0,0,1,5,6,7,2,0,0,0,,26.7,7.3,1990-1991,men,,,,,,Andreas Heymann,1966-12-26
35,Eder,Alfred,AUT,13,,,,0,0,0,0,0,1,4,6,9,4,0,0,0,,32.7,2.4,1990-1991,men,,,,,,Alfred Eder,1953-12-28
36,Demetz,Simon,ITA,7,,,,0,0,0,0,0,1,2,3,3,4,0,0,0,,37.9,4.3,1990-1991,men,,,,,,Simon Demetz,no_app_date
37,Glimsdal,Sylfest,NOR,4,,,,0,0,0,0,0,1,2,2,4,0,0,0,0,,23.0,8.0,1990-1991,men,,,,,,Sylfest Glimsdal,1966-10-09
38,Tengg,Helmut,GER,9,,,,0,0,0,0,0,1,1,6,7,2,0,0,0,,31.6,3.4,1990-1991,men,,,,,,Helmut Tengg,too_old_young
39,Marguet,Gilles,FRA,10,,,,0,0,0,0,0,0,5,7,9,1,0,0,0,,26.9,4.2,1990-1991,men,,,,,,Gilles Marguet,1967-12-03
40,Eloranta,Harri,FIN,8,,,,0,0,0,0,0,0,4,4,7,1,0,0,0,,29.5,2.9,1990-1991,men,,,,,,Harri Eloranta,1963-12-04
41,Douglas,Duncan,USA,9,,,,0,0,0,0,0,0,3,5,5,4,0,0,0,,34.3,3.8,1990-1991,men,,,,,,Duncan Douglas,1965-11-22
42,Blond,Xavier,FRA,8,,,,0,0,0,0,0,0,3,4,6,2,0,0,0,,32.5,3.6,1990-1991,men,,,,,,Xavier Blond,1965-06-18
43,Taschler,Gottlieb,ITA,10,,,,0,0,0,0,0,0,2,6,7,3,0,0,0,,30.8,2.4,1990-1991,men,,,,,,Gottlieb Taschler,1961-08-21
44,Dixon,Michael,GBR,13,,,,0,0,0,0,0,0,2,4,4,9,0,0,0,,40.6,2.2,1990-1991,men,,,,,,Mike Dixon,1962-11-21
45,Noskov,Valeri,URS,6,,,,0,0,0,0,0,0,1,4,5,0,0,0,1,,25.4,2.7,1990-1991,men,,,,,,Valeri Noskov,no-wiki
46,Kodate,Misao,JPN,7,,,,0,0,0,0,0,0,1,4,5,2,0,0,0,,42.4,1.9,1990-1991,men,,,,,,Misao Kodate,1961-11-16
47,Rypl,Martin,TCH,8,,,,0,0,0,0,0,0,1,3,6,2,0,0,0,,33.9,1.0,1990-1991,men,,,,,,Martin Rypl,1967-09-14
48,Laehde,Antero,FIN,6,,,,0,0,0,0,0,0,1,3,5,1,0,0,0,,31.0,0.2,1990-1991,men,,,,,,Antero Lähde,1964-12-13
49,Trinker,Armin,AUT,12,,,,0,0,0,0,0,0,1,3,5,7,0,0,0,,44.7,1.4,1990-1991,men,,,,,,Armin Trinker,no-wiki
50,Gerbier,Thierry,FRA,5,,,,0,0,0,0,0,0,1,3,3,2,0,0,0,,29.4,3.4,1990-1991,men,,,,,,Thierry Gerbier,1965-09-21
51,Laurent,Lionel,FRA,8,,,,0,0,0,0,0,0,1,2,4,4,0,0,0,,40.0,1.3,1990-1991,men,,,,,,Lionel Laurent,1964-10-10
52,Sosna,Krzysztof,POL,9,,,,0,0,0,0,0,0,1,2,4,5,0,0,0,,42.2,1.2,1990-1991,men,,,,,,Krzysztof Sosna,1969-10-11
53,Sjoeden,Peter,SWE,7,,,,0,0,0,0,0,0,1,2,4,3,0,0,0,,41.7,1.4,1990-1991,men,,,,,,Peter Sjödén,1967-10-14
54,Paquet,Jean,CAN,8,,,,0,0,0,0,0,0,1,2,4,4,0,0,0,,45.0,0.9,1990-1991,men,,,,,,Jean Paquet,1964-10-12
55,Vidinov,Krasimir,BUL,9,,,,0,0,0,0,0,0,1,2,4,4,0,1,0,,48.6,1.6,1990-1991,men,,,,,,Krasimir Videnov,1968-06-15
56,Dusserre,Thierry,FRA,6,,,,0,0,0,0,0,0,1,1,3,3,0,0,0,,40.2,1.2,1990-1991,men,,,,,,Thierry Dusserre,1967-07-25
57,Hietalahti,Vesa,FIN,6,,,,0,0,0,0,0,0,1,1,2,4,0,0,0,,48.0,1.7,1990-1991,men,,,,,,Vesa Hietalahti,1969-09-27
58,Kotraba,Pavel,TCH,4,,,,0,0,0,0,0,0,1,1,1,3,0,0,0,,48.3,3.0,1990-1991,men,,,,,,Pavel Kotraba,1970-11-03
59,Grujic,Mladen,YUG,8,,,,0,0,0,0,0,0,1,1,1,7,0,0,0,,60.0,0.9,1990-1991,men,,,,,,Mladen Grujic,1969-03-21
60,Mäkinen,Jari,FIN,4,,,,0,0,0,0,0,0,1,1,1,3,0,0,0,,43.5,3.5,1990-1991,men,,,,,,Jari Mäkinen,too_old_young
61,Vodenitscharov,Christof,BUL,3,,,,0,0,0,0,0,0,1,1,1,2,0,0,0,,53.3,2.0,1990-1991,men,,,,,,Christof Vodenitscharov,1966-11-20
62,Sidorenko,Viktor,URS,2,,,,0,0,0,0,0,0,1,1,1,1,0,0,0,,35.5,3.5,1990-1991,men,,,,,,Viktor Sidorenko,1953-12-31
63,Leitner,Egon,AUT,7,,,,0,0,0,0,0,0,1,1,1,6,0,0,0,,47.9,1.4,1990-1991,men,,,,,,Egon Leitner,1965-09-15
64,Hoos,Steffen,FRG,2,,,,0,0,0,0,0,0,1,1,1,1,0,0,0,,31.0,3.0,1990-1991,men,,,,,,Steffen Hoos,1968-01-29
67,Velepec,Uros,YUG,10,,,,0,0,0,0,0,0,0,2,4,5,0,1,0,,50.1,0.5,1990-1991,men,,,,,,Uros Velepec,1967-05-17
68,Holubec,Jiri,TCH,5,,,,0,0,0,0,0,0,0,2,3,2,0,0,0,,35.4,0.8,1990-1991,men,,,,,,Jiri Holubec,1966-03-03
70,Epp,Dominique,FRA,2,,,,0,0,0,0,0,0,0,2,2,0,0,0,0,,24.0,2.0,1990-1991,men,,,,,,Dominique Epp,too_old_young
73,Rupertus,Glenn,CAN,9,,,,0,0,0,0,0,0,0,1,3,6,0,0,0,,48.2,0.1,1990-1991,men,,,,,,Glenn Rupertus,1964-07-26
75,Zitturi,Edmund,ITA,9,,,,0,0,0,0,0,0,0,1,3,6,0,0,0,,47.7,0.2,1990-1991,men,,,,,,Edmund Zitturi,too_old_young
76,Rudd,Kenneth,GBR,10,,,,0,0,0,0,0,0,0,1,3,7,0,0,0,,59.3,0.1,1990-1991,men,,,,,,Kenneth Rudd,1968-05-16
77,Velepec,Jure,YUG,11,,,,0,0,0,0,0,0,0,1,2,8,0,1,0,,52.2,0.1,1990-1991,men,,,,,,Jure Velepec,1965-06-10
78,Pluta,Piotr,POL,8,,,,0,0,0,0,0,0,0,1,2,6,0,0,0,,46.5,0.4,1990-1991,men,,,,,,Piotr Pluta,no_app_date
79,Kataja,Kari,FIN,4,,,,0,0,0,0,0,0,0,1,2,2,0,0,0,,35.5,1.0,1990-1991,men,,,,,,Kari Kataja,1966-04-23
83,Mutschlechner,Elmar,ITA,8,,,,0,0,0,0,0,0,0,1,2,6,0,0,0,,49.6,0.4,1990-1991,men,,,,,,Elmar Mutschlechner,too_old_young
84,Kos,Tomas,TCH,4,,,,0,0,0,0,0,0,0,1,2,2,0,0,0,,42.0,0.8,1990-1991,men,,,,,,Tomas Kos,1967-12-31
85,Kozlowski,Dariusz,POL,7,,,,0,0,0,0,0,0,0,1,2,5,0,0,0,,54.1,0.6,1990-1991,men,,,,,,Dariusz Kozlowski,1968-02-24
86,Reiter,Alois,FRG,2,,,,0,0,0,0,0,0,0,1,1,1,0,0,0,,52.0,0.5,1990-1991,men,,,,,,Alois Reiter,no_app_date
88,Slatev,Spas,BUL,5,,,,0,0,0,0,0,0,0,1,1,4,0,0,0,,51.6,0.2,1990-1991,men,,,,,,Spas Zlatev,1964-05-14
89,Esterl,Hubert,FRG,2,,,,0,0,0,0,0,0,0,1,1,1,0,0,0,,35.5,1.5,1990-1991,men,,,,,,Hubert Esterl,1970-01-01
1,Petcherskaia,Svetlana,URS,11,,,,2,3,3,8,8,10,11,11,11,0,0,0,0,1.0,3.9,19.6,1990-1991,women,,,,,,Svetlana Petcherskaia,1968-11-14
2,Bedard,Myriam,CAN,14,,,,2,2,1,5,5,9,13,14,14,0,0,0,0,2.0,8.6,16.2,1990-1991,women,,,,,,Myriam Bedard,1969-12-22
3,Nykelmo,Grete I.,NOR,7,,,,2,2,0,4,4,5,6,7,7,0,0,0,0,16.0,7.7,12.3,1990-1991,women,,,,,,Grete Ingeborg Nykkelmo,1961-12-25
4,Golovina,Elena,URS,8,,,,2,0,1,3,5,6,6,8,8,0,0,0,0,12.0,8.1,13.5,1990-1991,women,,,,,,Elena Golovina,1961-02-16
5,Kristiansen,Elin,NOR,9,,,,2,0,1,3,4,6,8,9,9,0,0,0,0,7.0,8.6,13.7,1990-1991,women,,,,,,Elin Kristiansen,1968-07-09
6,Disl,Uschi,GER,12,,,,1,3,0,4,6,9,11,12,12,0,0,0,0,4.0,7.9,15.8,1990-1991,women,,,,,,Uschi Disl,1970-11-15
7,Behle,Petra,GER,12,,,,1,1,0,2,5,8,12,12,12,0,0,0,0,6.0,8.2,14.6,1990-1991,women,,,,,,Petra Behle,1969-01-05
8,Linn Elvebakk,Anne,NOR,13,,,,1,0,2,3,5,9,12,13,13,0,0,0,0,3.0,8.8,15.5,1990-1991,women,,,,,,Anne Elvebakk,1966-05-10
9,Harvey,Antje,GER,8,,,,1,0,1,2,2,6,8,8,8,0,0,0,0,5.0,7.8,17.9,1990-1991,women,,,,,,Antje Harvey,too_old_young
10,Claudel,Veronique,FRA,13,,,,0,1,0,1,1,5,11,12,13,0,0,0,0,8.0,15.8,10.9,1990-1991,women,,,,,,Veronique Claudel,1966-11-22
11,Melnikova,Elena,URS,4,,,,0,1,0,1,1,2,4,4,4,0,0,0,0,,10.5,16.0,1990-1991,women,,,,,,Elena Melnikova,1971-06-17
12,Visser,Yvonne,CAN,9,,,,0,1,0,1,1,2,3,5,7,1,0,1,0,,24.4,6.6,1990-1991,women,,,,,,Yvonne Visser,1965-07-09
13,Agolakova,Irina,URS,9,,,,0,0,2,2,3,4,8,9,9,0,0,0,0,9.0,12.8,12.8,1990-1991,women,,,,,,Irina Agolakova,too_old_young
14,Karagiozova,Iva,BUL,9,,,,0,0,1,1,3,4,7,9,9,0,0,0,0,18.0,12.7,8.8,1990-1991,women,,,,,,Iva Karagiozova,too_old_young
15,Moring,Kerstin,GER,9,,,,0,0,1,1,2,4,6,8,9,0,0,0,0,11.0,15.3,9.9,1990-1991,women,,,,,,Kerstin Moring,1963-09-26
16,Mikkelsplass,Hildegunn,NOR,8,,,,0,0,1,1,1,1,5,7,8,0,0,0,0,14.0,17.4,9.0,1990-1991,women,,,,,,Hildegunn Mikkelsplass,no_app_date
17,Pelcova,Jirina,TCH,9,,,,0,0,0,0,1,3,7,9,9,0,0,0,0,,16.7,6.1,1990-1991,women,,,,,,Jirina Pelcova,too_old_young
18,Thoresen,Synnoeve,NOR,10,,,,0,0,0,0,1,3,6,9,10,0,0,0,0,13.0,18.0,8.3,1990-1991,women,,,,,,Synnøve Thoresen,1966-05-06
19,Stadig,Mia,SWE,7,,,,0,0,0,0,1,3,3,5,6,1,0,0,0,,22.7,6.0,1990-1991,women,,,,,,Mia Stadig,1966-03-18
20,Kesper,Inga,GER,13,,,,0,0,0,0,1,2,10,11,13,0,0,0,0,10.0,17.5,8.9,1990-1991,women,,,,,,Inga Kesper,1968-09-22
21,Trosten,Signe,NOR,8,,,,0,0,0,0,1,2,6,8,8,0,0,0,0,20.0,17.5,8.8,1990-1991,women,,,,,,Signe Trosten,no_app_date
22,Hyytiäinen,Seija,FIN,10,,,,0,0,0,0,1,2,5,9,10,0,0,0,0,,18.7,6.6,1990-1991,women,,,,,,Seija Hyytiäinen,no_app_date
23,Bjorkbom,Inger,SWE,9,,,,0,0,0,0,1,2,4,7,9,0,0,0,0,17.0,18.7,7.6,1990-1991,women,,,,,,Inger Bjorkbom,1961-11-06
24,Blagoeva,Silvana,BUL,9,,,,0,0,0,0,1,2,3,6,8,1,0,0,0,,23.8,6.0,1990-1991,women,,,,,,Silvana Blagoeva,1972-07-14
25,Stede,Martina,GER,10,,,,0,0,0,0,1,1,4,8,9,1,0,0,0,,22.7,5.9,1990-1991,women,,,,,,Martina Stede,too_old_young
26,Mikami,Yoshiko,JPN,7,,,,0,0,0,0,1,1,3,4,6,1,0,0,0,,25.7,1.3,1990-1991,women,,,,,,Yoshiko Mikami,1966-05-23
27,Niogret,Corinne,FRA,6,,,,0,0,0,0,1,1,2,6,6,0,0,0,0,,20.2,5.7,1990-1991,women,,,,,,Corinne Niogret,1972-11-20
28,Paniutina,Svetlana,URS,2,,,,0,0,0,0,1,1,2,2,2,0,0,0,0,,11.5,14.5,1990-1991,women,,,,,,Svetlana Paniutina,no_app_date
29,Pethybridge,Kerryn,AUS,12,,,,0,0,0,0,0,2,5,9,12,0,0,0,0,,21.8,6.5,1990-1991,women,,,,,,Kerryn Pethybridge,1962-09-07
30,Alexieva,Nadejda,BUL,10,,,,0,0,0,0,0,2,5,7,9,1,0,0,0,19.0,22.0,7.3,1990-1991,women,,,,,,Nadejda Alexieva,1969-08-14
31,Belova,Elena,URS,4,,,,0,0,0,0,0,2,4,4,4,0,0,0,0,,10.5,10.8,1990-1991,women,,,,,,Elena Belova,1947-07-28
32,Talanova,Nadejda,URS,4,,,,0,0,0,0,0,2,3,4,4,0,0,0,0,,15.5,8.5,1990-1991,women,,,,,,Nadejda Talanova,1967-04-17
33,Sonnerup,Anna,USA,7,,,,0,0,0,0,0,2,3,3,6,1,0,0,0,,26.9,6.7,1990-1991,women,,,,,,Anna Sonnerup,too_old_young
34,Vapenikova,Jana,TCH,13,,,,0,0,0,0,0,1,8,12,12,1,0,0,0,15.0,20.0,6.4,1990-1991,women,,,,,,Jana Vapenikova,too_old_young
35,Sikio,Tuija,FIN,10,,,,0,0,0,0,0,1,6,9,9,1,0,0,0,,20.4,6.8,1990-1991,women,,,,,,Tuija Sikio,1969-11-23
36,Manolova,Maria,BUL,9,,,,0,0,0,0,0,1,5,6,7,2,0,0,0,,25.0,6.6,1990-1991,women,,,,,,Maria Manolova,too_old_young
37,Noskova,Petra,TCH,12,,,,0,0,0,0,0,1,3,8,11,1,0,0,0,,26.8,3.2,1990-1991,women,,,,,,Petra Noskova,1967-10-31
38,Vuoksiala,Tuija,FIN,7,,,,0,0,0,0,0,1,3,5,7,0,0,0,0,,21.1,6.4,1990-1991,women,,,,,,Tuija Vuoksiala,1961-08-25
39,Saarinen,Johanna,FIN,3,,,,0,0,0,0,0,1,2,2,3,0,0,0,0,,19.0,9.7,1990-1991,women,,,,,,Johanna Saarinen,1973-09-08
40,Prakharenka,Natallia,URS,2,,,,0,0,0,0,0,1,2,2,2,0,0,0,0,,10.0,16.0,1990-1991,women,,,,,,Natallia Prakharenka,1967-05-04
41,Eklund,Christina,SWE,7,,,,0,0,0,0,0,1,1,5,6,1,0,0,0,,25.7,3.4,1990-1991,women,,,,,,Christina Eklund,1970-01-19
42,Coats,Beth,USA,9,,,,0,0,0,0,0,1,1,3,6,3,0,0,0,,35.4,2.2,1990-1991,women,,,,,,Beth Coats,1966-07-20
43,Meloche,Lise,CAN,1,,,,0,0,0,0,0,1,1,1,1,0,0,0,0,,7.0,19.0,1990-1991,women,,,,,,Lise Meloche,too_old_young
44,Kristiansen,Unni,NOR,4,,,,0,0,0,0,0,0,4,4,4,0,0,0,0,,16.3,9.8,1990-1991,women,,,,,,Unni Kristiansen,no_app_date
45,Ostergren,Mary,USA,9,,,,0,0,0,0,0,0,3,6,7,2,0,0,0,,30.1,2.3,1990-1991,women,,,,,,Mary Ostergren,1960-11-25
46,Payraud,Sylvie,FRA,12,,,,0,0,0,0,0,0,2,6,10,2,0,0,0,,30.7,2.5,1990-1991,women,,,,,,Sylvie Payraud,no-wiki
47,Pieper,Dorina,GER,8,,,,0,0,0,0,0,0,2,3,8,0,0,0,0,,29.0,2.8,1990-1991,women,,,,,,Dorina Pieper,no_app_date
48,Restzova,Anfisa,URS,4,,,,0,0,0,0,0,0,2,3,3,1,0,0,0,,24.3,5.5,1990-1991,women,,,,,,Anfisa Reztsova,1964-12-16
49,Laehde,Sari,FIN,3,,,,0,0,0,0,0,0,2,2,3,0,0,0,0,,22.7,6.7,1990-1991,women,,,,,,Sari Laehde,no-wiki
50,Paramyguina,Svetlana,URS,2,,,,0,0,0,0,0,0,2,2,2,0,0,0,0,,19.0,3.5,1990-1991,women,,,,,,Svetlana Paramyguina,no_app_date
51,Beausire,Nathalie,FRA,12,,,,0,0,0,0,0,0,1,6,11,1,0,0,0,,29.8,1.3,1990-1991,women,,,,,,Nathalie Beausire,no_app_date
52,Jankowski,Patrice,USA,9,,,,0,0,0,0,0,0,1,6,7,2,0,0,0,,30.1,0.6,1990-1991,women,,,,,,Patrice Jankowski,no_app_date
53,Hermansson,Anna,SWE,7,,,,0,0,0,0,0,0,1,5,6,1,0,0,0,,28.6,2.9,1990-1991,women,,,,,,Anna Hermansson,1969-06-18
54,Briand,Anne,FRA,13,,,,0,0,0,0,0,0,1,4,9,4,0,0,0,,34.8,0.8,1990-1991,women,,,,,,Anne Briand,1968-06-02
55,Guetschow,Joan,USA,8,,,,0,0,0,0,0,0,1,4,5,3,0,0,0,,33.4,0.6,1990-1991,women,,,,,,Joan Guetschow,too_old_young
56,Berg,Inger-Kristin,CAN,7,,,,0,0,0,0,0,0,1,2,3,4,0,0,0,,34.4,1.3,1990-1991,women,,,,,,Inger-Kristin Berg,no_app_date
57,Batsevich,Elena,URS,2,,,,0,0,0,0,0,0,1,2,2,0,0,0,0,,23.0,4.5,1990-1991,women,,,,,,Elena Batsevich,no_app_date
58,Nordheim,Pam,USA,6,,,,0,0,0,0,0,0,1,1,4,2,0,0,0,,37.3,1.0,1990-1991,women,,,,,,Pam Nordheim,too_old_young
59,Isakson,Jane,CAN,11,,,,0,0,0,0,0,0,0,6,7,4,0,0,0,,35.6,0.8,1990-1991,women,,,,,,Jane Isakson,1965-10-15
60,Hoerburger,Daniela,FRG,6,,,,0,0,0,0,0,0,0,2,4,2,0,0,0,,35.7,0.7,1990-1991,women,,,,,,Daniela Hoerburger,no-wiki
65,Mattila,Pirjo,FIN,2,,,,0,0,0,0,0,0,0,1,2,0,0,0,0,,29.5,1.0,1990-1991,women,,,,,,Pirjo Mattila,1961-02-19
67,Vandercruche,Sophie,FRA,4,,,,0,0,0,0,0,0,0,1,2,2,0,0,0,,40.0,1.0,1990-1991,women,,,,,,Sophie Vandercruche,no-wiki
75,Johnstone,Nancy,USA,1,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,,22.0,4.0,1990-1991,women,,,,,,Nancy Johnstone,1959-10-22
76,Hamilton,Gillian,CAN,1,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,,24.0,2.0,1990-1991,women,,,,,,Gillian Hamilton,1969-08-29
